,loss,out1_loss,out2_loss,out1_accuracy,out2_accuracy,val_loss,val_out1_loss,val_out2_loss,val_out1_accuracy,val_out2_accuracy
0,1.8081798553466797,1.0049992799758911,2.343639373779297,0.712549090385437,0.363089382648468,0.652330219745636,0.41643714904785156,0.8095927238464355,0.8704830408096313,0.7464048862457275
1,0.5442919135093689,0.2917422354221344,0.7126557230949402,0.9070566892623901,0.7742981314659119,0.32737424969673157,0.2802700698375702,0.3587774336338043,0.9117809534072876,0.8849557638168335
2,0.3090580403804779,0.17312680184841156,0.39967983961105347,0.9430648684501648,0.8686168789863586,0.2399815022945404,0.1572083979845047,0.2951633036136627,0.9526180028915405,0.901087760925293
3,0.23059086501598358,0.12503814697265625,0.3009586036205292,0.9589320421218872,0.8992213606834412,0.24391543865203857,0.1878475844860077,0.2812938690185547,0.9446902871131897,0.9071718454360962
4,0.1844109445810318,0.10006006807088852,0.24064457416534424,0.9669393301010132,0.919337809085846,0.25726962089538574,0.2671363651752472,0.2506919801235199,0.9284660816192627,0.9169431924819946
5,0.15132968127727509,0.08258160203695297,0.1971615105867386,0.9719254374504089,0.934296190738678,0.15608641505241394,0.13824832439422607,0.16797839105129242,0.9564896821975708,0.9456120729446411
6,0.12818551063537598,0.06795649975538254,0.16833814978599548,0.9778203368186951,0.9428192377090454,0.19522544741630554,0.17433536052703857,0.20915226638317108,0.9563053250312805,0.9343658089637756
7,0.11201385408639908,0.059937868267297745,0.1467309594154358,0.9795888066291809,0.9508265256881714,0.12514355778694153,0.12177345156669617,0.12739017605781555,0.9651548862457275,0.9575036764144897
8,0.09677531570196152,0.049466509371995926,0.12831422686576843,0.9832731485366821,0.9556652903556824,0.14663749933242798,0.10055910795927048,0.17735658586025238,0.971238911151886,0.9424778819084167
9,0.08387849479913712,0.04567069187760353,0.10935033112764359,0.9845012426376343,0.9624935388565063,0.15805837512016296,0.14483170211315155,0.16687600314617157,0.9615597128868103,0.9457964897155762
10,0.07708656042814255,0.04030412435531616,0.10160813480615616,0.9865890741348267,0.9652199745178223,0.12704218924045563,0.16001266241073608,0.10506198555231094,0.9587942361831665,0.9679203629493713
11,0.0732334554195404,0.03643259033560753,0.097767174243927,0.9877434968948364,0.9669884443283081,0.11796508729457855,0.10406944155693054,0.1272287368774414,0.9746497273445129,0.9556600451469421
12,0.07228302955627441,0.03488270938396454,0.09721635282039642,0.9885048866271973,0.9662761092185974,0.0893348678946495,0.09304583072662354,0.08686091005802155,0.9752027988433838,0.9710545539855957
13,0.059245288372039795,0.029839126393198967,0.07884953171014786,0.9904453158378601,0.9728587865829468,0.11683114618062973,0.10705537348985672,0.12334815412759781,0.9729903936386108,0.9629424810409546
14,0.06016140431165695,0.02887389436364174,0.081019826233387,0.9902242422103882,0.9722201824188232,0.1226259171962738,0.14492763578891754,0.10775815695524216,0.9655236005783081,0.963587760925293
